cenario_preco,piso_complemento,entradas,semanas_com_5,media_por_semana,taxa_acerto,roi_por_unidade_apostada,menor_ev_selecionado
melhor,-0.05,1111,220,4.937777777777778,0.558055805580558,0.12845870967741935,-0.04149634028753135
medio,-0.05,1078,207,4.791111111111111,0.5426716141001855,0.03140497297297296,-0.04962261379174526
melhor,-0.075,1117,222,4.964444444444444,0.5568487018800358,0.12713060661764705,-0.07071023098606899
medio,-0.075,1111,219,4.937777777777778,0.5427542754275427,0.03162304832713755,-0.07476438096119664
melhor,-0.1,1120,222,4.977777777777778,0.55625,0.12668967416245985,-0.09564154537807923
medio,-0.1,1119,223,4.973333333333334,0.5406613047363718,0.02934204124801693,-0.09070307985318793
melhor,-0.125,1121,223,4.982222222222222,0.5566458519179304,0.12725174311926604,-0.10680646457094256
medio,-0.125,1120,223,4.977777777777778,0.5401785714285714,0.02879799154334038,-0.11583505644524683
melhor,-0.15,1123,224,4.9911111111111115,0.5565449688334817,0.12742218148487627,-0.14209799591748207
medio,-0.15,1122,224,4.986666666666666,0.5401069518716578,0.02892756071805703,-0.12618908580020904
melhor,-0.2,1123,224,4.9911111111111115,0.5565449688334817,0.12742218148487627,-0.14209799591748207
medio,-0.2,1123,224,4.9911111111111115,0.5405164737310775,0.029677467018469655,-0.19971827977377066
melhor,-1.0,1124,224,4.995555555555556,0.556049822064057,0.1269057260650481,-0.2890789129916751
medio,-1.0,1124,224,4.995555555555556,0.5400355871886121,0.029134388185654007,-0.3080368086452304
