Season,Entradas,Vitorias,Acerto,Lucro,ROI,OddMedia
2022,257,137,0.5330739299610895,45.6044,0.1774490272373541,2.320998443579766
2023,208,113,0.5432692307692307,35.5496,0.17091153846153845,2.2241759615384615
2024,202,101,0.5,11.306799999999996,0.05597425742574255,2.1689534653465348
2025,226,110,0.48672566371681414,11.2874,0.04994424778761062,2.229196460176991
