Scenario,Capture,Haircut,Bets,Wins,HitRate,AverageOdd,ProfitUnits,ROI,MaxDrawdown
Melhor odd -1%,1.0,0.01,547,341,0.623400365630713,1.7241383912248627,39.75319999999999,0.07267495429616086,11.748299999999993
Melhor odd -2% (oficial),1.0,0.02,547,341,0.623400365630713,1.706722851919561,33.82639999999998,0.061839853747714765,12.326599999999992
Melhor odd -3%,1.0,0.03,547,341,0.623400365630713,1.6893073126142595,27.899599999999978,0.0510047531992687,13.226899999999986
Melhor odd -5%,1.0,0.05,547,341,0.623400365630713,1.654476234003656,16.045999999999967,0.02933455210237654,15.555000000000012
75% do ganho entre média e melhor -2%,0.75,0.02,547,341,0.623400365630713,1.6906612431444241,28.487849999999984,0.05208016453382081,12.878200000000012
50% do ganho entre média e melhor -2%,0.5,0.02,547,341,0.623400365630713,1.674599634369287,23.14929999999999,0.04232047531992685,13.681799999999999
Odd média -2%,0.0,0.02,547,341,0.623400365630713,1.6424764168190127,12.472199999999983,0.022801096892138908,15.540800000000003
