Market,Side,MarketBand,DifferenceBand,Season,Bets,Wins,ProfitUnits,HitRate,AverageOdd,ROI
1X2,A,0.025,0.02,2022,14,0,-14.0,0.0,33.9101,-1.0
1X2,A,0.025,0.02,2023,14,1,14.419999999999998,0.07142857142857142,34.3602,1.0299999999999998
1X2,A,0.025,0.02,2024,11,0,-11.0,0.0,25.47109090909091,-1.0
1X2,A,0.025,0.02,2025,4,0,-4.0,0.0,27.195,-1.0
1X2,A,0.025,0.04,2012,4,0,-4.0,0.0,30.134999999999998,-1.0
1X2,A,0.025,0.04,2013,5,0,-5.0,0.0,40.78171999999999,-1.0
1X2,A,0.025,0.04,2014,8,0,-8.0,0.0,40.22165,-1.0
1X2,A,0.025,0.04,2015,12,1,13.48,0.08333333333333333,38.2347,1.1233333333333333
1X2,A,0.025,0.04,2016,13,0,-13.0,0.0,33.486599999999996,-1.0
1X2,A,0.025,0.04,2017,15,0,-15.0,0.0,30.649173333333334,-1.0
1X2,A,0.025,0.04,2018,12,1,14.46,0.08333333333333333,34.42495,1.205
1X2,A,0.025,0.04,2019,12,1,16.419999999999998,0.08333333333333333,33.39921666666667,1.3683333333333332
1X2,A,0.025,0.04,2020,2,0,-2.0,0.0,37.3772,-1.0
1X2,A,0.025,0.04,2021,6,0,-6.0,0.0,30.9288,-1.0
1X2,A,0.025,0.04,2022,12,0,-12.0,0.0,28.97778333333333,-1.0
1X2,A,0.025,0.04,2023,10,0,-10.0,0.0,32.928,-1.0
1X2,A,0.025,0.04,2024,7,0,-7.0,0.0,28.6776,-1.0
1X2,A,0.025,0.04,2025,2,0,-2.0,0.0,28.42,-1.0
1X2,A,0.025,0.06,2012,1,0,-1.0,0.0,35.28,-1.0
1X2,A,0.025,0.06,2013,5,0,-5.0,0.0,37.08712,-1.0
1X2,A,0.025,0.06,2014,5,0,-5.0,0.0,33.712,-1.0
1X2,A,0.025,0.06,2015,7,0,-7.0,0.0,36.6898,-1.0
1X2,A,0.025,0.06,2016,7,0,-7.0,0.0,29.9698,-1.0
1X2,A,0.025,0.06,2017,14,2,55.433,0.14285714285714285,31.678499999999996,3.9595
1X2,A,0.025,0.06,2018,8,0,-8.0,0.0,30.93125,-1.0
1X2,A,0.025,0.06,2019,11,0,-11.0,0.0,30.023636363636363,-1.0
1X2,A,0.025,0.06,2020,3,0,-3.0,0.0,29.916133333333335,-1.0
1X2,A,0.025,0.06,2021,4,0,-4.0,0.0,29.645,-1.0
1X2,A,0.025,0.06,2022,6,0,-6.0,0.0,27.206433333333333,-1.0
1X2,A,0.025,0.06,2023,11,0,-11.0,0.0,30.942163636363635,-1.0
1X2,A,0.025,0.06,2024,7,1,18.48,0.14285714285714285,27.909,2.64
1X2,A,0.025,0.06,2025,1,0,-1.0,0.0,25.48,-1.0
1X2,A,0.025,0.08,2012,3,0,-3.0,0.0,31.490666666666666,-1.0
1X2,A,0.025,0.08,2013,1,0,-1.0,0.0,65.66,-1.0
1X2,A,0.025,0.08,2014,3,1,20.52,0.3333333333333333,24.5,6.84
1X2,A,0.025,0.08,2015,3,0,-3.0,0.0,25.153333333333336,-1.0
1X2,A,0.025,0.08,2016,7,0,-7.0,0.0,31.987199999999998,-1.0
1X2,A,0.025,0.08,2017,1,0,-1.0,0.0,54.879999999999995,-1.0
1X2,A,0.025,0.08,2018,7,0,-7.0,0.0,30.641799999999996,-1.0
1X2,A,0.025,0.08,2019,3,0,-3.0,0.0,27.603333333333335,-1.0
1X2,A,0.025,0.08,2020,3,0,-3.0,0.0,27.58373333333333,-1.0
1X2,A,0.025,0.08,2021,4,0,-4.0,0.0,36.22325,-1.0
1X2,A,0.025,0.08,2022,3,0,-3.0,0.0,37.89333333333334,-1.0
1X2,A,0.025,0.08,2023,4,0,-4.0,0.0,27.439999999999998,-1.0
1X2,A,0.025,0.08,2024,4,1,36.18,0.25,30.67155,9.045
1X2,A,0.025,0.08,2025,1,0,-1.0,0.0,22.54,-1.0
1X2,A,0.025,0.1,2012,2,0,-2.0,0.0,28.0721,-1.0
1X2,A,0.025,0.1,2013,3,0,-3.0,0.0,50.37199999999999,-1.0
1X2,A,0.025,0.1,2014,1,0,-1.0,0.0,32.683,-1.0
1X2,A,0.025,0.1,2015,5,0,-5.0,0.0,35.71512,-1.0
1X2,A,0.025,0.1,2016,4,0,-4.0,0.0,29.06435,-1.0
1X2,A,0.025,0.1,2019,2,0,-2.0,0.0,40.67,-1.0
1X2,A,0.025,0.1,2020,2,0,-2.0,0.0,28.909999999999997,-1.0
1X2,A,0.025,0.1,2021,1,0,-1.0,0.0,25.48,-1.0
1X2,A,0.025,0.1,2022,2,0,-2.0,0.0,39.199999999999996,-1.0
1X2,A,0.025,0.1,2023,1,0,-1.0,0.0,25.48,-1.0
1X2,A,0.025,0.1,2024,3,0,-3.0,0.0,28.785866666666667,-1.0
1X2,A,0.025,0.12,2012,1,0,-1.0,0.0,26.8226,-1.0
1X2,A,0.025,0.12,2014,2,0,-2.0,0.0,34.79,-1.0
1X2,A,0.025,0.12,2015,1,1,39.18,1.0,40.18,39.18
1X2,A,0.025,0.12,2016,1,0,-1.0,0.0,29.1158,-1.0
1X2,A,0.025,0.12,2017,2,0,-2.0,0.0,26.95,-1.0
1X2,A,0.025,0.12,2018,3,0,-3.0,0.0,28.962266666666665,-1.0
1X2,A,0.025,0.12,2019,6,0,-6.0,0.0,29.89,-1.0
1X2,A,0.025,0.12,2021,1,0,-1.0,0.0,49.98,-1.0
1X2,A,0.025,0.12,2022,2,0,-2.0,0.0,29.331400000000002,-1.0
1X2,A,0.025,0.12,2024,2,0,-2.0,0.0,24.882199999999997,-1.0
1X2,A,0.025,0.12,2025,1,0,-1.0,0.0,40.18,-1.0
1X2,A,0.025,0.14,2014,1,0,-1.0,0.0,28.419999999999998,-1.0
1X2,A,0.025,0.14,2017,1,0,-1.0,0.0,26.46,-1.0
1X2,A,0.025,0.14,2018,1,0,-1.0,0.0,33.32,-1.0
1X2,A,0.025,0.14,2019,1,1,26.439999999999998,1.0,27.439999999999998,26.439999999999998
1X2,A,0.025,0.14,2020,1,0,-1.0,0.0,24.5,-1.0
1X2,A,0.025,0.14,2021,1,0,-1.0,0.0,28.419999999999998,-1.0
1X2,A,0.025,0.14,2023,1,0,-1.0,0.0,28.8316,-1.0
1X2,A,0.025,0.14,2024,1,0,-1.0,0.0,23.52,-1.0
1X2,A,0.025,0.16,2012,1,0,-1.0,0.0,26.46,-1.0
1X2,A,0.025,0.16,2015,1,0,-1.0,0.0,25.48,-1.0
1X2,A,0.025,0.16,2016,1,0,-1.0,0.0,24.2648,-1.0
1X2,A,0.025,0.16,2022,2,0,-2.0,0.0,32.1244,-1.0
1X2,A,0.025,0.16,2025,1,0,-1.0,0.0,25.48,-1.0
1X2,A,0.025,0.18,2018,1,0,-1.0,0.0,40.18,-1.0
1X2,A,0.025,0.18,2020,2,0,-2.0,0.0,25.97,-1.0
1X2,A,0.05,-0.06,2017,1,0,-1.0,0.0,15.68,-1.0
1X2,A,0.05,-0.04,2012,1,0,-1.0,0.0,16.66,-1.0
1X2,A,0.05,-0.04,2013,1,0,-1.0,0.0,17.64,-1.0
1X2,A,0.05,-0.04,2014,3,0,-3.0,0.0,19.119799999999998,-1.0
1X2,A,0.05,-0.04,2015,3,1,12.934800000000001,0.3333333333333333,18.26066666666667,4.3116
1X2,A,0.05,-0.04,2016,5,0,-5.0,0.0,17.836000000000002,-1.0
1X2,A,0.05,-0.04,2017,3,0,-3.0,0.0,19.273333333333333,-1.0
1X2,A,0.05,-0.04,2018,3,0,-3.0,0.0,17.362333333333336,-1.0
1X2,A,0.05,-0.04,2019,5,0,-5.0,0.0,19.6392,-1.0
1X2,A,0.05,-0.04,2020,7,0,-7.0,0.0,19.8324,-1.0
1X2,A,0.05,-0.04,2021,3,0,-3.0,0.0,17.34273333333333,-1.0
1X2,A,0.05,-0.04,2023,3,0,-3.0,0.0,18.740866666666665,-1.0
1X2,A,0.05,-0.04,2024,3,1,11.7,0.3333333333333333,18.94666666666667,3.9
1X2,A,0.05,-0.04,2025,2,1,18.58,0.5,17.64,9.29
1X2,A,0.05,-0.02,2012,9,0,-9.0,0.0,20.072577777777777,-1.0
1X2,A,0.05,-0.02,2013,16,1,2.5122,0.0625,21.7002625,0.1570125
1X2,A,0.05,-0.02,2014,12,0,-12.0,0.0,20.597966666666668,-1.0
1X2,A,0.05,-0.02,2015,8,0,-8.0,0.0,21.15085,-1.0
1X2,A,0.05,-0.02,2016,14,1,1.797600000000001,0.07142857142857142,17.7338,0.12840000000000007
1X2,A,0.05,-0.02,2017,18,1,0.7376000000000005,0.05555555555555555,18.519277777777777,0.04097777777777781
1X2,A,0.05,-0.02,2018,8,0,-8.0,0.0,19.608575,-1.0
1X2,A,0.05,-0.02,2019,16,0,-16.0,0.0,19.9215625,-1.0
1X2,A,0.05,-0.02,2020,5,0,-5.0,0.0,17.37736,-1.0
1X2,A,0.05,-0.02,2021,8,0,-8.0,0.0,19.394199999999998,-1.0
1X2,A,0.05,-0.02,2022,9,0,-9.0,0.0,18.52744444444444,-1.0
