Market,Side,Games,HitRate,RawBrier,CalibratedBrier,MeanReliability
1X2,A,16161,0.2983726254563455,0.19751024111409005,0.195354080932637,0.34217832396899245
1X2,D,16161,0.26347379493843204,0.1935894633194716,0.19325496080129068,0.7661150043851647
1X2,H,16161,0.43815357960522244,0.23084561503120618,0.22918543590466878,0.30857615294605095
BTTS,BTTS_N,16161,0.46216199492605653,0.25000801166798736,0.2475238603934966,0.458878339008336
BTTS,BTTS_Y,16161,0.5378380050739434,0.25000801166798736,0.24752386039349664,0.458878339008336
OU25,O25,16161,0.5148196274982983,0.249437281519712,0.24528726840151577,0.36620592386387196
OU25,U25,16161,0.48518037250170165,0.249437281519712,0.24528726840151574,0.366205923863872
