Market,Side,Bin,Sample,Wins,RawMean,EmpiricalHit,CalibratedProbability,CalibrationGap,Reliability,Level,Code
1X2,A,0.0,134,4,0.0376422690152359,0.029850746268656716,0.03276346505242464,0.007791522746579186,0.25407914602611187,GLOBAL,
1X2,A,0.05,1016,76,0.08033174200286136,0.07480314960629922,0.07520669649655923,0.005528592396562143,0.9631427173562523,GLOBAL,
1X2,A,0.1,2504,335,0.127997208852225,0.13378594249201278,0.13360672473226703,0.005788733639787796,0.9614084424014147,GLOBAL,
1X2,A,0.15,4283,722,0.17688591074826523,0.16857342983889798,0.1687258475498192,0.00831248090936726,0.9445834606042183,GLOBAL,
1X2,A,0.2,5672,1135,0.22588802883366738,0.20010578279266572,0.20046436757765881,0.025782246041001655,0.8281183597266556,GLOBAL,
1X2,A,0.25,6527,1647,0.2752559879344297,0.2523364485981308,0.2526139668585976,0.022919539336298866,0.8472030710913409,GLOBAL,
1X2,A,0.3,6476,1774,0.32459818012545916,0.27393452748610253,0.27455275387584455,0.05066365263935663,0.6622423157376225,GLOBAL,
1X2,A,0.35,5647,1816,0.374377040256015,0.3215866831946166,0.3223241074245646,0.052790357061398396,0.648064286257344,GLOBAL,
1X2,A,0.4,4588,1679,0.42442383826922797,0.3659546643417611,0.36695670673983255,0.058469173927466866,0.6102055071502208,GLOBAL,
1X2,A,0.45,3377,1306,0.47357613762382694,0.38673378738525316,0.38874344547581896,0.08684235023857378,0.4210509984095081,GLOBAL,
1X2,A,0.5,2316,1066,0.5236656713985924,0.46027633851468047,0.4623928437862635,0.06338933288391196,0.5774044474405868,GLOBAL,
1X2,A,0.55,1660,842,0.5738595556325673,0.5072289156626506,0.5102923933624169,0.0666306399699167,0.5557957335338887,GLOBAL,
1X2,A,0.6,1106,648,0.6230474680356592,0.5858951175406871,0.5884011782823378,0.03715235049497212,0.7523176633668525,GLOBAL,
1X2,A,0.65,618,373,0.6733144281468275,0.6035598705501618,0.6115546622517855,0.06975455759666571,0.5349696160222286,GLOBAL,
1X2,A,0.7,357,245,0.7229542577906249,0.6862745098039216,0.6929893378106408,0.03667974798670337,0.5394043995832919,GLOBAL,
1X2,A,0.75,165,122,0.7706673191899746,0.7393939393939394,0.749605655245706,0.03127337979603517,0.26119856444872264,GLOBAL,
1X2,A,0.8,78,60,0.8217687624319499,0.7692307692307693,0.7958322847756708,0.05253799320118058,0.10136048707077219,GLOBAL,
1X2,A,0.85,24,20,0.8664210372655551,0.8333333333333334,0.8587854132811963,0.03308770393222171,0.1,GLOBAL,
1X2,A,0.9,2,2,0.9166066660999475,1.0,0.9186406498536073,0.08339333390005255,0.1,GLOBAL,
1X2,D,0.0,2,0,0.04202392487913205,0.0,0.04099895110159224,0.04202392487913205,0.1,GLOBAL,
1X2,D,0.05,86,5,0.08623957125566957,0.05813953488372093,0.07168172108706967,0.02810003637194864,0.13977862496016555,GLOBAL,
1X2,D,0.1,545,66,0.13159266636497946,0.12110091743119267,0.12244386129471736,0.010491748933786793,0.9300550071080881,GLOBAL,
1X2,D,0.15,2568,435,0.1806063861656921,0.169392523364486,0.16973131076029283,0.01121386280120612,0.9252409146586259,GLOBAL,
1X2,D,0.2,11635,2749,0.23066866077908607,0.23626987537602062,0.23623162551108212,0.005601214596934551,0.9626585693537697,GLOBAL,
1X2,D,0.25,21054,5782,0.27418883945053,0.2746271492352997,0.2746254900707884,0.00043830978476966376,0.9970779347682023,GLOBAL,
1X2,D,0.3,9205,2729,0.3190223842532022,0.2964693101575231,0.2966636285126824,0.022553074095679082,0.8496461726954727,GLOBAL,
1X2,D,0.35,1377,398,0.3662170359452344,0.28903413217138707,0.29327204040879806,0.07718290377384734,0.485447308174351,GLOBAL,
